molregno	canonical_smiles
647	CCOC(=O)CNC(=O)c1cc(-c2ccncc2)nnc1Cl
717	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
739	CS(=O)(=O)c1c(F)cc(-c2cc(C(N)=O)c(Cl)nn2)cc1F
783	Nc1ccc(S(=O)(=O)Nc2ccccc2S(N)(=O)=O)cc1
925	CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
932	Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1
1011	CCCCCCCCC#Cc1ccc2c(c1OC)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C
1027	CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1
1028	CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
1069	CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1
1160	CC(C)NCC(O)COc1ccc(C[S+]([O-])CC2CC2)cc1
1209	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1228	CC1(C)N=C(N)N=C(N)N1c1cccc(I)c1
1267	CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1
1440	CC1(C)N=C(N)N=C(N)N1c1ccc(I)cc1
1549	COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1
1592	CC(C)(CNC(=O)Cc1ccccc1)NCC(O)COC(=O)c1ccccc1F
1597	COCCOC(=O)NCC(C)(C)NCC(O)COC(=O)c1ccccc1F
1691	CC(=O)NCC(C)(C)NCC(O)COC(=O)c1ccccc1F
1692	CC(C)C(=O)NCC(C)(C)NCC(O)COC(=O)c1ccccc1F
1699	CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1
1726	COc1ccc(CCNCC(O)COC(=O)c2ccc(N)cc2)cc1OC
1740	COc1ccc(CCNCC(O)C(=O)Oc2ccccc2C)cc1OC
1744	COc1ccc(CCNCC(O)COC(=O)c2ccc(C)cc2)cc1OC
1754	O=C(Cc1ccccc1)NCCNCC(O)COC(=O)c1ccccc1F
1764	CC(C)(C)NCC(O)COC(=O)C(c1ccccc1)c1ccccc1
1773	CC(C)NCC(O)COC(=O)c1ccc(OCc2ccccc2)cc1
1776	CCOC(=O)NCC(C)(C)NCC(O)COC(=O)c1ccccc1F
1778	COc1ccc(CCNCC(O)COC(=O)c2cccc(C)c2)cc1OC
1785	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
1786	CC(C)(CNC(=O)C1CCCCC1)NCC(O)COC(=O)c1ccccc1F
1787	COc1ccc(CCNCC(O)COC(=O)c2ccccc2C)cc1OC
1789	COc1ccc(CCNCC(O)COC(=O)c2ccc(F)cc2)cc1OC
1818	COc1ccc(CCNCC(O)C(=O)Oc2ccccc2)cc1OC
1825	COc1ccccc1COC(=O)C(O)CNCCc1ccc(OC)c(OC)c1
1837	CC(C)(C)NCC(O)COC(=O)c1ccc([N+](=O)[O-])cc1Cl
1861	CC(C)(CNC(=O)N1CCOCC1)NCC(O)COC(=O)c1ccccc1F
1866	CC(C)(C)NCC(O)COC(=O)c1ccc(OCc2ccccc2)cc1
1899	CC(C)C(=O)NCCNCC(O)COC(=O)c1ccccc1F
1950	COc1ccc(CCNCC(O)COC(=O)c2ccccc2)cc1OC
1960	COc1ccc(CCNCC(O)COC(=O)c2ccccc2F)cc1OC
1961	COc1ccc(CCNCC(O)COC(=O)c2ccccc2Cl)cc1OC
2000	COc1ccc(CCNCC(O)COC(=O)c2cccc(F)c2)cc1OC
2017	COc1ccc(CCNCC(O)COC(=O)c2ccc(CO)cc2)cc1OC
2046	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2109	CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(Cl)c(Cl)c2)C1
2116	CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(Br)cc2)C1
2209	CC(C)(C)/N=C(\NC#N)Nc1cccc(/C(=C/CCCC(=O)O)c2cccnc2)c1
2305	O=C(N[C@@H](Cc1c[nH]cn1)C(=O)O)c1ccccc1Br
2314	CSCC[C@H](NC(=O)c1ccccc1Br)C(=O)O
2333	O=C(N[C@@H](Cc1cccs1)C(=O)O)c1ccccc1Br
2340	O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1ccccc1Br
2402	NC(=O)CC[C@H](NC(=O)c1ccccc1Br)C(=O)O
2404	O=C(O)CC[C@H](NC(=O)c1ccccc1Br)C(=O)O
2434	O=C(O)C[C@H](NC(=O)c1ccccc1Br)C(=O)O
2446	NCCCC[C@H](NC(=O)c1ccccc1Br)C(=O)O
2464	N#Cc1ccc(C[C@H](NC(=O)c2ccccc2Br)C(=O)O)cc1
2819	O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
2868	CCCC(=O)Nc1ccc(S(=O)(=O)c2cccc(OC)c2)cc1
2968	Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(Cl)cc2)cc1
3148	CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)OC(=O)[C@H]1C
3228	CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C(C)C)OC(=O)[C@H]1C
3689	O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1
3699	Cc1c(CCC(=O)O)s/c(=N\C(=O)c2ccc(C(=N)N)cc2)n1C
3810	Cc1nc(NC(=O)c2ccc(C(=N)N)cc2)sc1CCC(=O)O
3957	CCCCC(C)(C)C(O)c1cccc(OCc2cccc(C(=O)OC)c2)c1
3965	N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
4038	CCCCCC(O)c1cccc(OCc2cccc(C(=O)O)n2)c1
4052	CCCCCC(O)c1cccc(OCc2cccc(C(=O)OC)n2)c1
4321	CCCCCC(O)c1cccc(OCc2cccc(C(=O)OC)c2)c1
4425	CCCCCC(O)c1cccc(OCc2cccc(C(=O)O)c2)c1
4474	CCN1CCC[C@@H]1CNC(=O)c1c(OC)ccc(I)c1O
4672	CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
4686	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
4721	CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(I)c1O
4855	CCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
4974	CC(C)=CC[C@@H](OC(=O)CCl)C1=CC(=O)c2c(O)ccc(O)c2C1=O
4975	CCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
4991	CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5025	CC(C)=CC[C@@H](OC(=O)C(Cl)(Cl)Cl)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5026	CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5053	CC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5067	CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCCCF
5074	CC(C)N(CC[C@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
5110	C/C=C/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5114	C=CCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5117	CC/C=C/CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5120	CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCF
5140	CCC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5145	CCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5146	COCCN1C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C
5148	CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5149	CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCCF
5153	CC(C)=CC[C@@H](OC(=O)C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5155	CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCCCO
5156	CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1C/C=C/I
5248	CC(C)=CC[C@@H](OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5250	CCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5267	CCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5284	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1
5295	COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
5308	C=CCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5309	C=CCC/C=C/C(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
5386	COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1
5389	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
5392	CNc1ccc(Cl)cc1C(=O)c1cc(OC)c(OC)c(OC)c1
5393	COc1cc(C(=O)c2cc(Cl)ccc2N)cc(OC)c1OC
5436	COc1cc(C(=O)c2cc(Cl)ccc2O)cc(OC)c1OC
5584	Cc1ccnc(NCCCCC(=O)NNC(=O)CC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1
5638	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
5658	CC(C)CN[C@@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21
5674	CN(C)Cc1ccc(CSCCNc2n[s+]([O-])nc2N)o1
5729	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
5780	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
5783	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
5791	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
5806	CC(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(C)=O
5858	CN(C(=O)CN)c1ccc(Cl)cc1C(=O)c1c(Cl)cccc1Cl.Cl
5870	Cl.NCC(=O)Nc1ccc(Cl)cc1C(=O)c1c(Cl)cccc1Cl
6088	COc1ccc(/C=C(\C)C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
6104	COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O
6292	CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1CCC(=O)O
6301	CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C
6409	CC(C)(C)C(=O)Oc1ccccc1C(=O)c1ccccc1OC(=O)C(C)(C)C
6434	Cc1cc(C)c(C(=O)OCc2cc(=O)c(OC(=O)C(C)(C)C)co2)c(C)c1
6435	CC(C)(C)C(=O)Oc1ccc(C(=O)OCc2cc(=O)c(OC(=O)C(C)(C)C)co2)c(OC(=O)C(C)(C)C)c1
6496	CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)(C)C)cc2OC(=O)C(C)(C)C)cc1
6499	CC(C)(C)C(=O)Oc1ccccc1C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1
6504	CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1
6527	CC(Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C)C(=O)O
6535	CC(C)(C)C(=O)Oc1ccc(C(=O)OCc2cc(=O)c(OC(=O)C(C)(C)C)co2)cc1
6537	CC(C=O)Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C
6570	CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1
6571	CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)c(OC(=O)C(C)(C)C)c1
6592	CC(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)C)cc2)cc1
6597	CC(CO)Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C
6598	CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1CCCO
6619	COC(=O)C(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1
6627	CC(=O)NC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1
6636	CC(C)(C)C(=O)Oc1ccc(C(OC(=O)CCC(=O)[O-])c2ccc(OC(=O)C(C)(C)C)cc2)cc1.[Na+]
6638	CC(C)(C)OC(=O)Oc1ccc(C(=O)c2ccc(OC(=O)OC(C)(C)C)cc2)cc1
6709	CC(C)(C)C(=O)Oc1ccc(C(O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1
6719	O=C(O)C[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(O)O
6734	CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1
6742	CC(C)(C)C(=O)Oc1ccc(/N=N/c2ccc(OC(=O)C(C)(C)C)cc2)cc1
6766	CC(C)(C)C(=O)Oc1ccc(Oc2ccc(OC(=O)C(C)(C)C)cc2)cc1
6827	CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O
6928	O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(O)O
6971	COc1ccc(CCCc2cc(OC)c(OC)c(OC)c2)cc1O
7071	COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O
7148	COc1ccc(CCCCc2cc(OC)c(OC)c(OC)c2)cc1O
7355	CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)COc2ccc(Cl)cc2)cc1OC
7398	CCCCCC(O)/C=C/CC1CCc2c(cccc2OCC(=O)O)C1
7460	O=C(/C=C/C(Br)=C/c1ccccc1)C1=C(O)CNC1=O
7547	CCCCCC(O)/C=C/CCC1CCCc2c(OCC(=O)O)cccc21
7744	COCC#CCC(NS(=O)(=O)c1ccc(NC(=O)c2ccc(Br)cc2)cc1)C(=O)O
7750	COCC#CCC(NS(=O)(=O)c1ccc(NC(=O)c2ccc(OC)cc2)cc1)C(=O)O
7783	COCC#CCC(NS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1)C(=O)O
7843	COCC#CCC(NS(=O)(=O)c1ccc(NC(=O)N2CCCC2)cc1)C(=O)O
7859	CCCCOc1ccc(S(=O)(=O)NC(CC#Cc2ccccc2)C(=O)O)cc1
7863	COCC#CCC(NS(=O)(=O)c1ccc(-c2ccc(OC)cc2)cc1)C(=O)O
7877	CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NS(C)(=O)=O)C(=O)O)cc2)c1
7939	CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NC(=O)OCC(C)(C)C)C(=O)O)cc2)c1
7983	CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NC(=O)OCC)C(=O)O)cc2)c1
8007	CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NC(=O)OCC(C)C)C(=O)O)cc2)c1
8333	CSC(=O)Nc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8353	CSC(=O)Nc1cnc(-c2ccccc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8372	CCNc1cnc(-c2cccs2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8381	CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(NC(=O)OCC(F)(F)F)c1=O)C(=O)C(F)(F)F
8446	CC(C)C(NC(=O)Cn1c(-c2cc(F)cc(F)c2)ncc(N)c1=O)C(=O)C(F)(F)F
8477	CC(C)c1ncc(NC(=O)OCc2ccccc2)c(=O)n1CC(=O)NC(C(=O)C(F)(F)F)C(C)C
8488	CC(C)C(NC(=O)Cn1c(-c2cccs2)ncc(N)c1=O)C(=O)C(F)(F)F
8489	CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(N)c1=O)C(=O)C(F)(F)F
8499	CC(C)C(NC(=O)Cn1c(-c2cccs2)ncc(NC=O)c1=O)C(=O)C(F)(F)F
8528	CNc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8542	CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(NC(=O)C(F)(F)F)c1=O)C(=O)C(F)(F)F
8544	CC(C)C(NC(=O)Cn1c(-c2cccs2)ncc(NC(=O)OCC(F)(F)F)c1=O)C(=O)C(F)(F)F
8550	COC(=O)Nc1cnc(-c2cccs2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8593	COC(=O)Nc1cnc(-c2ccc(F)cc2)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1=O
8604	CC(C)NCC(O)COc1ccc(-c2nc(C(C)C)c[nH]2)cc1
8634	CC(C)C(NC(=O)Cn1c(-c2cccs2)ncc(NC(=O)OC(C)(C)C)c1=O)C(=O)C(F)(F)F
8648	CC(c1ccccc1)C(CS)C(=O)NC(COCc1ccccc1)C(=O)O
8723	Cc1c[nH]c(Cc2ccc(OCC(O)CNC(C)(C)C)cc2)n1
